gold_id,conversation_id,tweet_id,customer_message,suggested_intent,length_bucket,difficulty,priority,intent_label,should_escalate_human,reply_quality_human,judge_overall,judge_groundedness,notes
G044,amazon_111800,111798,"@AmazonHelp I am missing 2 refunds out of 6 items I returned, I used the other 4 refunds on other items already and waiting for the last 2 to be refunded. he stated I already used the last 2 when it obviously has not been refunded, I have all transactions on my account still and saved",missing_or_not_received,long,ambiguous,,,,,,,
G045,amazon_1496632,1496631,@197572 @115850 Voucher mil jayega,gift_card,short,standard,,,,,,,
G046,amazon_1483557,1483556,@AmazonHelp It was delievered today. Thanks!,other,short,hard,,,,,,,
G047,amazon_128160,128160,@115850 when I bought oneplus5 offer read as stream prime get pay balance. Read on Kindle app get so and so but I didn't receive both why,missing_or_not_received,medium,ambiguous,,,,,,,
G048,amazon_2377245,2377249,@AmazonHelp I have already provided day before yesterday and before that I am doing follow up since 17 days. Pls confirm as I have paid 19000 for this order and have not received my product nor any refund.,missing_or_not_received,long,ambiguous,,,,,,,
G049,amazon_382217,382217,1)@115850 @AmazonHelp... Dear Amazon are we paying to get defective or already used product 🙄🙄😥.. Received 3rd defective product in row!!,wrong_damaged_item,medium,standard,,,,,,,
G050,amazon_2317446,2317446,"@AmazonHelp über WE Sellecentral-Account gesperrt. Warum? Hilfe und Kontakt-Form landen immer wieder im Login. Keine E-Mail - NIX! Wir erwarten umgehend Kontaktaufnahme durch AMAZON oder eine Durchwahlnummer! Artikel sind noch aktiv, also rechtlich problematisch wenn kein Zugriff",account_login,long,standard,,,,,,,
G051,amazon_1919817,1919817,"@AmazonHelp PRIMENOW5 voucher code isn't working in London, any ideas? https://t.co/QYNBgdSU7r",gift_card,medium,standard,,,,,,,
G052,amazon_619269,619267,"@AmazonHelp Still product is not delivered , waiting from 3 days . Informed about same at above mentioned address but no solution",address_delivery,medium,standard,,,,,,,
G053,amazon_1777663,1777663,Why is next day delivery suddenly mean 48hojr delivery? Has prime changed @AmazonHelp,delivery_tracking_delay,medium,ambiguous,,,,,,,
G054,amazon_255010,255010,"@115821 i order nokia 6 matte black on 21th September &amp; i got wrong product after many follow ups and mails,result is ZERO.Its ridiculous.",wrong_damaged_item,medium,standard,,,,,,,
G055,amazon_1540963,1540963,@AmazonHelp my redeem code sent for Call of Duty: WW2 isn't working??,gift_card,medium,standard,,,,,,,
G056,amazon_2292686,2292686,amazon prime really snatched $99 from my bank account without warning i'm about to go the fuck off,account_login,medium,ambiguous,,,,,,,
G057,amazon_314252,314252,@115850 friends stop shopping from Amazon. They are just making us fool by providing used and faulty products,wrong_damaged_item,medium,standard,,,,,,,
G058,amazon_390039,390039,"#Amazon @120533 #lt Au revoir abonnement prime et demande de retour de tous mes articles, sans compter les futurs achats que vous perdez !",prime_membership,medium,standard,,,,,,,
G059,amazon_77537,77535,@AmazonHelp It must be. I've had the same email address for years and I have tons of old order confirmations in my inbox.,address_delivery,medium,standard,,,,,,,
G060,amazon_1563544,1563544,@AmazonHelp why do I have to 'request' a cancellation? If you can't deliver next business day on Prime that's your fault.,prime_membership,medium,ambiguous,,,,,,,
G061,amazon_792731,792730,@AmazonHelp Please provide me again these books on same address,address_delivery,medium,standard,,,,,,,
G062,amazon_2336325,2336325,1 thing I hate about @115821 is that having no way of knowing where things come from. ie being a Prime member but shipping from China #weeks,prime_membership,medium,standard,,,,,,,
G063,amazon_550474,550474,@115850 it’s been two months i did not received any refund as my product did not deliver. After 100 mails no one bother to solve the problem. My first EMI got deducted. And still cs doesn’t care!! Disappointed @AmazonHelp,missing_or_not_received,long,ambiguous,,,,,,,
G064,amazon_485428,485428,@115821 Don't you love it when you order something with Prime with a promise to get it before your son's birthday for his party and then it sits in Ohio for over two days missing delivery and ruining the party and then @AmazonHelp won't make it right.,delivery_tracking_delay,long,ambiguous,,,,,,,
G065,amazon_2550243,2550243,@AmazonHelp lost package 3 days after undeliverable package (needed security gate code- I don't have a gate). You guys feeling ok?,missing_or_not_received,medium,standard,,,,,,,
G066,amazon_1700053,1700056,@AmazonHelp It takes me to the redeem code page but it doesnt auto populate the code,gift_card,medium,standard,,,,,,,
G067,amazon_2569208,2569208,@AmazonHelp i bought a earphone exactly 30 days Back and it has stopped working. Is this the kind of product u deliver. Worst return policy.,refund_return,medium,standard,,,,,,,
G068,amazon_420222,420222,Your stupid new security check stopped my purchase @AmazonHelp - it’s my phone and fingerprint. You don’t need more!,other,medium,hard,,,,,,,
G069,amazon_932220,932220,Los señores de @116928 me han prorrogado el periodo de prueba gratis de Amazon Prime un mes más!! ❤️ https://t.co/NixFDNgAUG,prime_membership,medium,standard,,,,,,,
G070,amazon_876291,876291,@AmazonHelp why is it that I've ordered 2 different pairs of headphones and both have come broken?,wrong_damaged_item,medium,standard,,,,,,,
G071,amazon_461255,462467,@AmazonHelp i have already shared via email from __email__..please check and refund my money,refund_return,medium,standard,,,,,,,
G072,amazon_1980725,1980725,@115821 Got my package! Some of the eyeshadows in the palette are broken. I'll try to fix it!,wrong_damaged_item,medium,standard,,,,,,,
G073,amazon_2449429,2449429,Starting to get really concerned about the book I got from @115821. Has my full name and was sent to new address... which no one has. 😯,address_delivery,medium,standard,,,,,,,
G074,amazon_1538009,1538009,@115850 My order number is 171-78489308924316 - please return this product instead of exchaning it. Thanks,refund_return,medium,standard,,,,,,,
G075,amazon_1606351,1606351,Bring home the Wonder! Buy #WonderWoman on #AmazonVideo &amp; receive a promotional code to redeem 2 DC digital comics. https://t.co/rpPXkOo9aJ https://t.co/x40LshaO1y,gift_card,medium,standard,,,,,,,
G076,amazon_1553275,1553266,"@AmazonHelp Hi amazon, I can’t redeem my pre order bonus but have redeemed other codes please can you look into this for me I get this message https://t.co/L0xt5tFFbn",gift_card,medium,standard,,,,,,,
G077,amazon_563963,563962,Update: after waiting all day at home for my Amazon package to arrive it tells me it’s delivered but never arrived at my doorstep or my fucking apartments after talking to AN AMAZON REPRESENTATIVE THIS FUCKING MORNING ABOUT MY PACKAGE ARRIVING TODAY,missing_or_not_received,long,standard,,,,,,,
G078,amazon_2551060,2551055,@AmazonHelp Was so simple I got a echo last week for 99 it’s on sale 79..they were too stupid to fix it. 3 people all broken English. I am returning it.,wrong_damaged_item,medium,standard,,,,,,,
G079,amazon_2919895,2919895,"@115821 @119038 prime sub cancelled, two months sub and no twitch prime sub button appearing, three messages and only automated answers. Good job guys.",prime_membership,medium,standard,,,,,,,
G080,amazon_1503848,1503850,"@AmazonHelp Believe me, I’ve tried on 2 phone, a laptop and 2 tablets. It was a gift voucher which has now been redeemed.",gift_card,medium,standard,,,,,,,
G081,amazon_1513335,1513331,@AmazonHelp Would it be too late to cancel this order now if I wanted? Maybe ordering Xbox credit then buying from their store on the Xbox maybe the way,delivery_tracking_delay,medium,ambiguous,,,,,,,
G082,amazon_1068372,1068372,@AmazonHelp I am unable to sign into my account on iOS. Keep getting this error. Username and Password are correct. https://t.co/zEUmeqh6G0,account_login,medium,standard,,,,,,,
G083,amazon_2772430,2772430,Amazon charged me for shit I didn’t sign up for and wanted to refund me a promotional certificate. TF.,refund_return,medium,ambiguous,,,,,,,
G084,amazon_2859784,2859783,@AmazonHelp no for a printer,other,short,hard,,,,,,,
G085,amazon_2812816,2812816,"アマゾンプライムミュージックにスピッツ見つけたのでリピート再生しながら作業( 'ω' و(و """,other,medium,hard,,,,,,,
G086,amazon_2318980,2318984,@AmazonHelp I studied my account and I do not have any active subscriptions. And the last thing bought in my order history was $6.. https://t.co/q9h0bOICWQ,account_login,medium,standard,,,,,,,
G087,amazon_1318980,1318979,"@115830 So my email says I can cancel, yet I can't actually cancel it. Thanks, Amazon.",cancel_order,medium,standard,,,,,,,
G088,amazon_1480168,1480167,@AmazonHelp Wat's the point if I have to return/replace the product everytime? Why take prime if it takes 1 week for the final product to arrive?,refund_return,medium,ambiguous,,,,,,,
G089,amazon_29958,29958,アマゾンからの荷物が届いていたので、てっきり先日注文した某書物だろう、と思ったら・・先月届いたものと同じものがなぜかもう一冊届いた不思議(?_?) 注文履歴見ても一度しか注文してないのになんでなんだろう・・,other,medium,hard,,,,,,,
G090,amazon_224844,224844,"@115830 fraudulent transaction alert! My Indian credit card swiped for GBP 454 without auth. Look into it, take action and inform",payment_billing,medium,standard,,,,,,,
G091,amazon_854359,854336,"@322917 @37906 Actually let's focus on the real issue here, where is my copy of @212203 #TheFracturedButWhole @115821? @118706?",missing_or_not_received,medium,standard,,,,,,,
G092,amazon_2063279,2063279,@115830 FYI...cardboard + rain + snow = damaged Christmas present + one unhappy customer https://t.co/VRoYtTm3R2,wrong_damaged_item,medium,standard,,,,,,,
G093,amazon_349738,349738,@115850 No use of prime membership. Cancel n revert my money. Wasted so much valuable time in Amazon. Revert money. Good bye 👋🏼,prime_membership,medium,ambiguous,,,,,,,
G094,amazon_2129017,2129018,@626727 @115830 I had one in Sunday that's gone missing too.,missing_or_not_received,medium,standard,,,,,,,
G095,amazon_278681,278681,"@115850 how many weeks do u take to deliver goods, once its out for delivery?? Can i expect to see &amp; use my purchases Booking no#589548328",delivery_tracking_delay,medium,standard,,,,,,,
G096,amazon_1357190,1357190,"@226078 @1386 @115850 i purchased bms+amazon gv, all are locked. why the hell this is done,i want my money,solve this issue",other,medium,hard,,,,,,,
G097,amazon_1117990,1117989,@AmazonHelp I'm going to have to cancel it.,cancel_order,short,standard,,,,,,,
G098,amazon_2440297,2440297,"so apparently the dvd i ordered from @115821 marketplace has been ""attempted for delivery"" twice but there's been someone here both times it was attempted so ??? (also there's no ""missed package"" notice)",delivery_tracking_delay,long,standard,,,,,,,
G099,amazon_971010,971055,@AmazonHelp Damn. Are u guys for serious? I HAVE NOT RECEIVED ANY E-MAIL SO IN WHAT DO I REPLY?? DO YOU GET THIS NOW ATLEAST???,missing_or_not_received,medium,standard,,,,,,,
G100,amazon_714756,714755,@115821 @125965 @290981 Can you redeem this on Xbox?,gift_card,medium,standard,,,,,,,
G101,amazon_917530,917529,@AmazonHelp It’s one of your lot it was a prime delivery!,delivery_tracking_delay,medium,ambiguous,,,,,,,
G102,amazon_535014,534988,@AmazonHelp I have still not received my courier!,missing_or_not_received,medium,standard,,,,,,,
G103,amazon_93555,93555,Shoutout to @115821 for replacing that broken controller I’ve been complaining about! 👍🏻,wrong_damaged_item,medium,standard,,,,,,,
G104,amazon_1660807,1660807,Hi @115850 pls cancel order 402-7468265-6772312 . I am unable to cancel it. Thanks,cancel_order,medium,standard,,,,,,,
G105,amazon_1519819,1519819,Contempt by @115821 .au with not even reply to email giftcard service query. Lord save us when Big Four rule. Anybody there @AmazonHelp ??,gift_card,medium,standard,,,,,,,
G106,amazon_180523,180523,"Had to cancel my order today from @116090 2 day shipping item still not shipped, horrible experience with the CSR. @AmazonHelp",cancel_order,medium,standard,,,,,,,
G107,amazon_111966,111966,And once again @115830 fails to fulfil “guaranteed” delivery dates and “next day delivery” Questioning the point of prime now!,delivery_tracking_delay,medium,ambiguous,,,,,,,
G108,amazon_1688595,1688595,hey @115830 @115821 you just charged EVERY payment method I have stored on your site with a random charge!,payment_billing,medium,standard,,,,,,,
G109,amazon_1505421,1505421,@115766 I keep getting an error message when trying to redeem my @115821 pre-order reward for @115786. Known issue? Fix?,gift_card,medium,standard,,,,,,,
G110,amazon_224220,224223,@115850 Ya received but why it got cancel? I got the Diwali discount and then it got https://t.co/ud8cMMbLiv its cost is higher if i want to buy.,cancel_order,medium,standard,,,,,,,
G111,amazon_2640901,2640901,"@115830 you have taken my family members money, sent the gifts to the wrong address and then cut me off when I call to complain. Bravo. #useless #worstcustomerserviceever #joke",address_delivery,medium,standard,,,,,,,
G112,amazon_510397,510397,"@115821 I have placed 10 orders from you in 4 weeks and 9 out of 10 have been late and not treated as Prime. What is going on? Was suppose to receive 2 orders today and they never arrived. Seriously, what is going on???",delivery_tracking_delay,long,ambiguous,,,,,,,
G113,amazon_2915853,2915853,Tech question: my wife bought me the new Kindle Fire HD 10 for our anniversary. Love it! Great tool. Cool to have Alexa on there. But how is it possible that I can't get GroupMe on it when I have GroupMe on my old Fire 8? @AmazonHelp @115821 @3279 Use GroupMe a LOT at @111866,other,long,hard,,,,,,,
G114,amazon_257697,257696,@AmazonHelp I went to the link u sent but there isn't a choice to cancel items or edit for the order I'm trying to cancel,cancel_order,medium,standard,,,,,,,
G115,amazon_1549415,1549415,@AmazonHelp is there a reason I'm still getting charged every other month for Amazon Prime even though it's been canceled for months? https://t.co/eSRWLFnxiB,payment_billing,medium,ambiguous,,,,,,,
G116,amazon_2773018,2773016,"@AmazonHelp Of course....if Amazon would like to give me a voucher for the said £20 to place the order, feel free. Otherwise, how presumptuous can you be? Also, lastly - if there was a problem - how come you didn't email me and notify me? I've had zero communication - until I do it first.",gift_card,long,standard,,,,,,,
G117,amazon_1604097,1604101,@AmazonHelp How to add a credit card...because they are manillan and they can't read English https://t.co/PRlbzYtZE7,payment_billing,medium,standard,,,,,,,
G118,amazon_885630,885630,@AmazonHelp my return request has been cancelled by the courier facility without being the return attempt made by them to the given address,refund_return,medium,ambiguous,,,,,,,
G119,amazon_2281338,2281336,"@AmazonHelp It's from Amazon shipping, either that or I can give an alternative address for tomorrow, if you need order number etc that's fine",address_delivery,medium,standard,,,,,,,
G120,amazon_2731124,2731124,@115830 I did not receive a recent order and cannot locate the ‘contact us’ section of your website Please assist,missing_or_not_received,medium,standard,,,,,,,
G121,amazon_523516,523516,@115821 Return policy enquiry from Amazon customer MohanKrishna (Order: 404-1115917-5931559) https://t.co/ljPhFQyw6u,refund_return,medium,standard,,,,,,,
G122,amazon_428606,428606,"@AmazonHelp This gift voucher promo, there is no 'Click to register' button anywhere on the page? https://t.co/lNmf7Qdqiv",gift_card,medium,standard,,,,,,,
G123,amazon_281966,283122,@181565 @115850 This is not all I have ordered four times for lenovo k8note all time its prepaid order and every time they cancel order without informing u,cancel_order,medium,standard,,,,,,,
G124,amazon_1423079,1423069,"@AmazonHelp Hi I requested a cancellation before the product arrived, why hasn't the request been accepted",cancel_order,medium,standard,,,,,,,
G125,amazon_225490,225500,"@AmazonHelp I do not received any call from service person yet - its 10:00 am now, can someone followup and update me the status.",missing_or_not_received,medium,standard,,,,,,,
G126,amazon_502411,502411,@115821 what’s with you leaving your packages on the sidewalk? no wonder i’m missing a package from my wedding registry 🤦🏻‍♀️ https://t.co/Z3KcGxN98e,missing_or_not_received,medium,standard,,,,,,,
G127,amazon_1561133,1561129,@115821 was supposed to arrive on Thursday. Going to see my friend’s baby gaughter today - what am I supposed to do? Unacceptable,other,medium,hard,,,,,,,
G128,amazon_1873812,1873812,@146898 @120474 do it again!!! Let you buy tickets and immediately cancel your order! Not happy!!!! 😡,cancel_order,medium,standard,,,,,,,
G129,amazon_947707,947707,@AmazonHelp I need to speak to somebody regarding an outrageous security violation of my account earlier sanctioned by customer services,account_login,medium,standard,,,,,,,
G130,amazon_199981,199979,@AmazonHelp you have my condition for the return in the first tweet itself. Fulfill it then we will talk,refund_return,medium,standard,,,,,,,
G131,amazon_1212235,1212237,@AmazonHelp Automated replies are of no use. You delivered my product to an address which was closed for Diwali. Order ID:-402-9068890-8005955,address_delivery,medium,standard,,,,,,,
G132,amazon_533260,533260,"@115850 I had cancelled my order 171-3881888-6984365, but I am yet to receive my refund. Can you pls update?",refund_return,medium,standard,,,,,,,
G133,amazon_1092460,1092460,"@AmazonHelp so, silly question. Ordered something Saturday that is a prime item, but why isnt it being delivered within 2 days?",prime_membership,medium,standard,,,,,,,
G134,amazon_2531727,2531727,@AmazonHelp Worst experience with you! Had to cancel my order! Flipkart has better service than yours.,cancel_order,medium,standard,,,,,,,
G135,amazon_476894,476894,"@115850 @AmazonHelp @115851 Sir, can u give me ur number so that I can share my live location so that u will know that I am at my home waiting for ur courier guy to pick the return and he won’t be able to misreport that I was not available n door was closed.",refund_return,long,standard,,,,,,,
G136,amazon_258801,258758,"@AmazonHelp @4030 @118702 @115937 @4110 @4168 @119356 @115821 @131283 @144775 @2517 @115830 @115850 Dear Amazon, Have you published my review? Or are u still busy selling your faulty e-products? Stop your malpractice. #ScamAtAmazon #Day16",wrong_damaged_item,long,standard,,,,,,,
G137,amazon_1347640,1347642,@AmazonHelp Well no I paid prime and have next day delivery. I would like compensating as this was a present.,delivery_tracking_delay,medium,ambiguous,,,,,,,
G138,amazon_2366318,2366318,"Hey @AmazonHelp, can Amazon Prime Now orders be delivered to an Amazon Hub?",prime_membership,medium,standard,,,,,,,
G139,amazon_2133113,2133108,"@AmazonHelp My new shoes got torned within a month, tried a lot to get it returned. Went to bata too to they said it's duplicate product. You Conned me",refund_return,medium,standard,,,,,,,
G140,amazon_1661418,1661417,@AmazonHelp @115850 @AmazonHelp need warranty support headphone is not working mic is faulty what to do and give your customer representative number,wrong_damaged_item,medium,standard,,,,,,,
G141,amazon_309243,309240,@AmazonHelp This all happened today!,other,short,hard,,,,,,,
G142,amazon_2813560,2813560,@115821 your packaging left a bit too be desired today. Everything was correct in the package though. https://t.co/Jje0W8NZZ6,other,medium,hard,,,,,,,
G143,amazon_80668,80678,@AmazonHelp Et l'emballage cadeau est top! :),other,medium,hard,,,,,,,
G144,amazon_929191,929191,@AmazonHelp @115850 deliverd product worth 1000INR through @149473 month ago COD.paid thru @122951. Amount paid twice.#Amazon said they are not responsible for returning money.#bluedart asks me 2 come to their office&amp;collect cheque as they cant return money thru #paytm,refund_return,long,standard,,,,,,,
G145,amazon_1278135,1278135,@AmazonHelp unlock my account __email__ https://t.co/NA8t2ZNUt5,account_login,medium,standard,,,,,,,
G146,amazon_431077,431077,He didn't receive the package. There has been some discrepancy. No updates from @115850 even after 24 hours. Disappointed 😕 #SumedhArak https://t.co/Izn9mzJ7kk,missing_or_not_received,medium,standard,,,,,,,
G147,amazon_1216224,1216222,@AmazonHelp An item that was scheduled for delivery today shipped this morning and won't be delivered until tomorrow. Ordered on 10/22 w/ 2 day shipping,delivery_tracking_delay,medium,standard,,,,,,,
G148,amazon_1496632,1496632,@467467 did not send my winning voucher so poor compancy did not send my winning voucher ??? #fakeamazonin @115850,gift_card,medium,standard,,,,,,,
G149,amazon_403533,420021,@146377 @AmazonHelp So despite telling me it would arrive by Prime on Saturday there was no chance of that happening. They haven't even tried to deliver it!!!,prime_membership,medium,standard,,,,,,,
G150,amazon_44548,44550,@AmazonHelp That needs to be fixed. If a household has one prime account but a husband/wife want to listen on different devices they cant. 😡😡😡,account_login,medium,ambiguous,,,,,,,
G151,amazon_1076306,1076306,"@AmazonHelp parcel delivered to my address, left outside in rain. Address/postcode is mine. Nobody lives here with name on parcel. Any ideas",address_delivery,medium,standard,,,,,,,
G152,amazon_2278333,2278329,@AmazonHelp Order date:15-Oct-2017 Order No:407-7059915-6297120 Order total:599.00 Email: patniabhishek@gmail..com Hope this helps. Tell ETA,other,medium,hard,,,,,,,
G153,amazon_2763532,2763532,"@AmazonHelp Hi. Went to my tab from earlier and I got a Privacy Error (using Chrome) with ""Not secure....."" in the address bar and saying my connection isn't private. I'm too afraid to log in on another browser. :(",account_login,long,ambiguous,,,,,,,
G154,amazon_292285,292282,"@AmazonHelp About the 5th time we got a ""attempted delivery"" notification at the end of a day/shift when it clearly/definitely was not the case",delivery_tracking_delay,medium,standard,,,,,,,
G155,amazon_2662844,2662842,@AmazonHelp I've called customer service several times and tried to change the delivery instructions but they won't deliver if I don't answer the door,delivery_tracking_delay,medium,standard,,,,,,,
G156,amazon_1152653,1152653,@137341 can you kindly bring kindle's price in India at par with global prices. Look at the price comparison I saw today. https://t.co/FKbF8Jmq8R,payment_billing,medium,standard,,,,,,,
G157,amazon_1401484,2419962,"The next day comes around and 9pm hits. The one and only notification I received was that my package was signed by me and delivered at my address. Strange, since I never did signed nor received my package 😑",address_delivery,long,standard,,,,,,,
G158,amazon_1677127,1677127,"Hey @AmazonHelp, I don't like being lied to. Don't have your people promise refunds for sending me damaged books, then go back on their word",wrong_damaged_item,medium,standard,,,,,,,
G159,amazon_499950,499950,I don't get how it's acceptable for @81 @118706 @115817 @115821 to just leave/drop off packages outside the house without consistent delivery notifications. Three lost packages in three months.,delivery_tracking_delay,long,standard,,,,,,,
